"filename", "language", "pip requirements", "Python", "XML", "Django", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\migrations\0006_cotizacionfieldex_cotizacionjuan_and_more.py", "Python", 0, 329, 0, 0, 0, 0, 1, 6, 336
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\models.py", "Python", 0, 220, 0, 0, 0, 0, 0, 10, 230
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\static\css\comparador.css", "CSS", 0, 0, 0, 0, 0, 95, 4, 25, 124
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\static\css\cotizacion_list.css", "CSS", 0, 0, 0, 0, 0, 96, 4, 25, 125
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\templates\comparador_cotizaciones.html", "Django", 0, 0, 0, 61, 0, 0, 0, 0, 61
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\templates\cotizacion_etnico.html", "Django", 0, 0, 0, 106, 0, 0, 3, 7, 116
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\templates\cotizacion_fieldex.html", "Django", 0, 0, 0, 106, 0, 0, 3, 7, 116
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\templates\cotizacion_juan.html", "Django", 0, 0, 0, 106, 0, 0, 3, 7, 116
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\cartera\views.py", "Python", 0, 235, 0, 0, 0, 0, 6, 42, 283
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\admin.py", "Python", 0, 32, 0, 0, 0, 0, 4, 12, 48
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\choices.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\forms.py", "Python", 0, 117, 0, 0, 0, 0, 5, 29, 151
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\0001_initial.py", "Python", 0, 177, 0, 0, 0, 0, 1, 7, 185
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\0002_alter_detallepedido_tarifa_comision.py", "Python", 0, 13, 0, 0, 0, 0, 1, 6, 20
